match_type,date,english_name,description_lead,notes
exact_date_and_name,8-Sep,St. Hadrian,記念,Reference row 42
exact_date_and_name,15-Sep,St. Nicomedes,記念,Reference row 43
exact_date_and_name,16-Sep,"Ss. Euphemia, Lucy & Geminianus",記念,Reference row 44
exact_date_and_name,22-Sep,Ss. Maurice ＆ Companions,記念,Reference row 45
exact_date_and_name,23-Sep,St. Thecla,記念,Reference row 46
exact_date_and_name,7-Oct,Pope St. Mark,記念,Reference row 47; current internal key
exact_date_and_name,8-Oct,"Ss. Sergius and Bacchus, Marcellus ＆ Apuleius",記念,Reference row 48
exact_date_and_name,9-Oct,"Ss. Denis, Rusticus & Eleutherius",記念,Reference row 49
exact_date_and_name,21-Oct,St. Ursula and Companions,記念,Reference row 50
exact_date_and_name,4-Nov,Ss. Vitalis and Agricola,記念,Reference row 51
exact_date_and_name,9-Nov,St. Theodore,記念,Reference row 52
exact_date_and_name,10-Nov,"Ss. Tryphon, Respicius ＆ Nympha",記念,Reference row 53
exact_date_and_name,11-Nov,St. Mennas,記念,Reference row 54
exact_date_and_name,19-Nov,St. Pontianus,記念,Reference row 55
exact_date_and_name,23-Nov,St. Felicitas,記念,Reference row 56
exact_date_and_name,24-Nov,St. Chrysogonus,記念,Reference row 57
exact_date_and_name,26-Nov,St. Peter of Alexandria,記念,Reference row 58
exact_date_and_name,5-Feb,Twenty-six Martyrs of Japan,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,17-Mar,Blessed Virgin Mary of the Discovery of the Christians,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,22-May,Bls. John the Baptist of Machado ＆ Peter of the Assumption,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,1-Jun,Bls. Alfonso Navarrete & Companions,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,20-Jun,Bls. Francisco Pacheco & Companions,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,19-Aug,Bls. Pedro de Z??iga & Companions,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,25-Aug,Bls. Miguel de Carvalho & Companions,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,3-Sep,Bls. Anthony Ishida & Companions,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,7-Sep,"Bls. Thomas Tsuji, Michael Nakajima ＆ Companions",日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,10-Sep,"Bls. Charles Spinola, Sebastian Kimura ＆ Companions",日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,13-Sep,Bls. Apollinaris & Companions,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,16-Sep,"Bls. Camillus Costanzo, Augustine Ota ＆ Companions",日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,5-Nov,Bs. Paul Navarro & Companions,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,27-Nov,Bs. Leonardo Kimura & Companions,日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
exact_date_and_name,4-Dec,"Bs. Jerome de Angelis, Simon Empo & Companions",日本の固有ミサ。,Japanese proper Mass from fixed_feasts_local.csv
movable_name,,Bls. Diogo de Carvalho & Companions,日本の固有ミサ。,Japanese proper Mass from movable_feasts_local.csv
